movie_name,movie_url,movie_opening,movie_weekend,movie_first_week,movie_total_collection,movie_worlwide,movie_genre,movie_release_date & movie length,movie_banner,movie_director,movie_director_url,movie_producer,movie_moviedetails,movie_actors
Marjaavaan,https://www.bollywoodmdb.com/movies/marjaavaan/16531,: 7.03 cr,: 24.42 cr,: 37.87 cr,: 48.37 cr,: 65.34 cr,"Action, Romance, Drama","15 November, 2019 | 2 hrs 17 mins","Banner : Emmay Entertainment Pvt. Ltd, T-Series Super Cassettes Industries Ltd.",Milap Zaveri,https://www.bollywoodmdb.com/celebrities/milap-zaveri/10405,"Producer : Bhushan Kumar , Divya Khosla Kumar, Krishan Kumar",Raghu and Zoya are enjoying their lives together until a gang leader with harmful intentions turns their world upside down.,"Star : Siddharth Malhotra , Riteish Deshmukh, Tara Sutaria"
Bala,https://www.bollywoodmdb.com/movies/bala/16539,: 10.15 cr,: 43.95 cr,: 72.24 cr,: 115.28 cr,: 169.67 cr,Comedy,"08 November, 2019 | 2 hrs 9 mins","Banner : Maddock Films, Jio Studios",Amar Kaushik,https://www.bollywoodmdb.com/celebrities/amar-kaushik/25266,Producer : Dinesh Vijan,It tells the story of a man who is balding prematurely and how he copes up with the situation.,"Star : Ayushman Khurana , Bhumi Pednekar, Yami Gautam"
Ujda Chaman,https://www.bollywoodmdb.com/movies/ujda-chaman/16647,: 02.35 cr,: 09.50 cr,: 09.50 cr,: 12.00 cr,: ---,"Comedy, Drama","01 November, 2019 | 2 hrs",Banner : Panorama Studios,Abhishek Pathak,https://www.bollywoodmdb.com/celebrities/abhishek-pathak/25318,"Producer : Kumar Mangat Pathak , Abhishek Pathak",Chaman Kohli is 30 -year-old bachelor with Premature Balding and in quest of a beautiful wife. Chaman hits rock bottom when an astrologer gives him a deadline to find himself a wife or remain a celibate forever.,"Star : Sunny Singh Nijjar , Maanvi Gagroo, Saurabh Shukla"
Housefull 4,https://www.bollywoodmdb.com/movies/housefull-4/16406,: 16.50 cr,: 46.50 cr,: 129.35 cr,: 194.59 cr,: 279.11 cr,Comedy,"25 October, 2019 | 2 hrs 22 mins","Banner : Nadiadwala Grandson Entertainment, Fox Star Studios",Farhad Samji,https://www.bollywoodmdb.com/celebrities/farhad-samji/34426,"Producer : Sajid Nadiadwala , Firuzi Khan","A set of three brothers are due to marry a set of three sisters, until one of the brothers starts to realize that they are all reincarnations from 600 years earlier and the wrong couples are about to get married.","Star : Akshay Kumar , Riteish Deshmukh, Bobby Deol"
Saand Ki Aankh,https://www.bollywoodmdb.com/movies/saand-ki-aankh/16559,: 0.48 cr,: 2.47 cr,: 11.68 cr,: 23.39 cr,: 30.63 cr,Biographical,"25 October, 2019 | 2 hrs 29 mins","Banner : Reliance Entertainment, Chalk and Cheese Films",Tushar Hiranandani,https://www.bollywoodmdb.com/celebrities/tushar-hiranandani/10406,"Producer : Reliance Entertainment , Anurag Kashyap, Nidhi Parmar","Both over the age of 60, Chandro Tomar and Prakashi Tomar inspire other women in India when they demonstrate their expert sharpshooting skills.","Star : Taapsee Pannu , Bhumi Pednekar, Prakash Jha"
The Sky Is Pink,https://www.bollywoodmdb.com/movies/the-sky-is-pink/16502,: 2.50 cr,: 10.40 cr,: 15.15 cr,: 20.03 cr,: 34.41 cr,Biographical,"11 October, 2019 | 2 hrs 29 mins","Banner : RSVP, Roy Kapur Films, Purple Pebble Pictures",Shonali Bose,https://www.bollywoodmdb.com/celebrities/shonali-bose/13285,"Producer : Siddharth Roy Kapur , Ronnie Screwvala","It is based on the love story of a couple spanning 25 years, told through the lens of their spunky teenage daughter Aisha Chaudhary, who was diagnosed with a Pulmonary fibrosis","Star : Priyanka Chopra , Farhan Akhtar, Zaira Wasim"
Sye Raa Narasimha Reddy,https://www.bollywoodmdb.com/movies/sye-raa-narasimha-reddy/16630,: 2.60 cr,: ---,: ---,: 2.60 cr,: ---,"Historical, Action","02 October, 2019 | 2 hrs 50 mins","Banner : Konidela Production Company, Excel Entertainment",Surender Reddy,https://www.bollywoodmdb.com/celebrities/surender-reddy/36889,Producer : Ram Charan,"A historical action epic inspired by the life of Uyyalawada Narasimha Reddy, who revolted against the atrocities of East India Company 10 years before the Sepoy Mutiny.","Star : Chiranjeevi , Amitabh Bachchan, Nayanthara"
War,https://www.bollywoodmdb.com/movies/siddharth-anand-s-next/16395,: 53.35 cr,: 166.25 cr,: 238.35 cr,: 318.01 cr,: 455 cr,"Action, Thriller","02 October, 2019 | 2 hrs 36 mins",Banner : Yash Raj Films,Siddharth Anand,https://www.bollywoodmdb.com/celebrities/siddharth-anand/36907,Producer : Aditya Chopra,"The film follows an Indian soldier who is assigned to eliminate his former mentor, who had gone rogue.","Star : Hrithik Roshan , Tiger Shroff, Vaani Kapoor"
Pal Pal Dil Ke Paas,https://www.bollywoodmdb.com/movies/pal-pal-dil-ke-paas/16339,: 1.25 cr,: 4.80 cr,: 4.80 cr,: 4.80 cr,: ---,"Romance, Drama","20 September, 2019 | 2 hrs 33 mins","Banner : Zee Studios, Sunny Sounds Pvt Ltd",Sunny Deol,https://www.bollywoodmdb.com/celebrities/sunny-deol/711,"Producer : Zee Studios , Sunny Sounds Pvt Ltd","When video blogger Saher Sethi embarks on a tedious trek with mountaineer Karan Sehgal, sparks are bound to fly. But will their love story blossom despite the odds?","Star : Karan Deol , Sahher Bambba, Aakash Ahuja"
Section 375,https://www.bollywoodmdb.com/movies/section-375/16550,: 1.45 cr,: 8.04 cr,: 12.49 cr,: 12.49 cr,: 22.30 cr,Drama,"13 September, 2019 | 2 hrs 4 mins","Banner : Panorama Studios, SCIPL",Ajay Bahl,https://www.bollywoodmdb.com/celebrities/ajay-bahl/29550,"Producer : Kumar Mangat Pathak , Abhishek Pathak, SCIPL","A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew, Anjali Dangle of having raped her at his residence.","Star : Akshaye Khanna , Richa Chadda, Rahul Bhat"
Dream Girl,https://www.bollywoodmdb.com/movies/dream-girl/16538,: 10.05 cr,: 44.57 cr,: 72.20 cr,: 139.70 cr,: 128.24 cr,Comedy,"13 September, 2019 | 2 hrs 12 mins",Banner : Balaji Motion Pictures,Raaj Shaandilyaa,https://www.bollywoodmdb.com/celebrities/raaj-shaandilyaa/34572,"Producer : Shobha Kapoor , Ekta Kapoor","Rom-com Movie, directed by Raaj Shaandilyaa, stars Ayushmann Khurrana who plays a 'dream girl'. In every love story, there is always one trying to win the heart of the other, who could be the 'dream girl'.","Star : Ayushman Khurana , Nushrat Bharucha, Annu Kapoor"
Chhichhore,https://www.bollywoodmdb.com/movies/nitesh-tiwari-s-next/16477,: 7.32 cr,: 35.98 cr,: 68.83 cr,: 150.36 cr,: 170.99 cr,"Comedy, Drama","06 September, 2019 | 2 hrs 26 mins","Banner : Fox Star Studios, Nadiadwala Grandson Entertainment",Nitesh Tiwari,https://www.bollywoodmdb.com/celebrities/nitesh-tiwari/24451,Producer : Sajid Nadiadwala,Following a group of friends from university as they progress into middle-age life and go their own separate ways.,"Star : Sushant Singh Rajput , Shraddha Kapoor, Varun Sharma"
Saaho,https://www.bollywoodmdb.com/movies/saaho/16321,: 24.40 cr,: 79.08 cr,: 116.03 cr,: 130.98 cr,: 424 cr,"Action, Thriller","30 August, 2019 | 2 hrs 51 mins","Banner : UV Creations, T-Series Super Cassettes Industries Ltd.",Sujeeth,https://www.bollywoodmdb.com/celebrities/sujeeth/34987,Producer : Vamsi - Pramod,"An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a 'black box', their ultimate key to a treasure.","Star : Prabhas , Shraddha Kapoor, Jackie Shroff"
Batla House,https://www.bollywoodmdb.com/movies/batla-house/16473,: 15.55 cr,: 47.99 cr,: 69.99 cr,: 86.04 cr,: 113.49 cr,"Action, Crime, Thriller","15 August, 2019 | 2 hrs 26 mins","Banner : T-Series Super Cassettes Industries Ltd., Emmay Entertainment Pvt. Ltd, JA Entertainment",Nikhil Advani,https://www.bollywoodmdb.com/celebrities/nikhil-advani/4740,"Producer : Bhushan Kumar , Divya Khosla Kumar, Krishan Kumar","After a deadly encounter, a police officer struggles to catch the fugitives and prove the police acted lawfully, while being despised by the whole nation.","Star : John Abraham , Mrunal Thakur, Manish Choudhary"
Mission Mangal,https://www.bollywoodmdb.com/movies/mission-mangal/16534,: 29.16 cr,: 97.56 cr,: 128.16 cr,: 200.16 cr,: 239.83 cr,Drama,"15 August, 2019 | 2 hrs 13 mins","Banner : Fox Star Studios, Cape of Good Films, Hope Productions",Jagan Shakti,https://www.bollywoodmdb.com/celebrities/jagan-shakti/35674,"Producer : Cape of Good Films , Hope Productions, Fox Star Studios","Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan), making it the least expensive mission to Mars.","Star : Akshay Kumar , Vidya Balan, Taapsee Pannu"
Jabariya Jodi,https://www.bollywoodmdb.com/movies/jabariya-jodi/16510,: 3.15 cr,: 12 cr,: ---,: 12 cr,: ---,"Action, Romance, Comedy","09 August, 2019 | 2 hrs 24 mins","Banner : Balaji Motion Pictures, Karma Media Entertainment",Prashant Singh,https://www.bollywoodmdb.com/celebrities/prashant-singh/30603,"Producer : Shobha Kapoor , Ekta Kapoor, Shailesh R. Singh","Based on groom kidnappings in Bihar, where the groom is kidnapped to avoid dowry, the film has Siddharth Malhotra playing a thug who helps kidnap grooms. It also features Parineeti Chopra in a prominent role.","Star : Siddharth Malhotra , Parineeti Chopra, Javed Jaffrey"
Judgemental Hai Kya,https://www.bollywoodmdb.com/movies/mental-hai-kya/16447,: 5.40 cr,: 22.04 cr,: 31.42 cr,: 40.10 cr,: 44.92 cr,"Comedy, Crime, Thriller","26 July, 2019 | 2 hrs 1 mins","Banner : Karma Media and Entertainment, Balaji Motion Pictures",Prakash Kovelamudi,https://www.bollywoodmdb.com/celebrities/prakash-kovelamudi/35823,"Producer : Shobha Kapoor , Ekta Kapoor, Shailesh R. Singh",Following the story of two quirky individuals whose lives pivot between reality and illusions.,"Star : Kangana Ranaut , Rajkummar Rao, Jimmy Shergill"
Super 30,https://www.bollywoodmdb.com/movies/super-30/16394,: 11.83 cr,: 50.76 cr,: 75.85 cr,: 146.58 cr,: 184.97 cr,Biographical,"12 July, 2019 | 2 hrs 34 mins","Banner : Nadiadwala Grandson Entertainment, Phantom Productions, HRX Films",Vikas Bahl,https://www.bollywoodmdb.com/celebrities/vikas-bahl/23937,"Producer : Nadiadwala Grandson Entertainment , Phantom Films, Reliance Entertainment",Based on life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.,"Star : Hrithik Roshan , Mrunal Thakur, Nandish Singh"
Article 15,https://www.bollywoodmdb.com/movies/article-15/16566,: 5.02 cr,: 20.04 cr,: 34.21 cr,: 63.05 cr,: 90.15 cr,"Crime, Thriller","28 June, 2019 | 2 hrs 11 mins","Banner : Zee Studios, Benaras Media Works",Anubhav Sinha,https://www.bollywoodmdb.com/celebrities/anubhav-sinha/4215,"Producer : Anubhav Sinha , Zee Studios","Set against the backdrop of Badaun gangrape and murder case (2014), Anubhav Sinha's Article 15 is a thrilling investigative drama based on true events.","Star : Ayushman Khurana , Isha Talwar, Sayani Gupta"
Kabir Singh,https://www.bollywoodmdb.com/movies/arjun-reddy-remake/16472,: 20.21 cr,: 70.83 cr,: 134.42 cr,: 278.24 cr,: 369.58 cr,Drama,"21 June, 2019 | 2 hrs 55 mins","Banner : T-Series Super Cassettes Industries Ltd., Cine1 Studios",Sandeep Reddy Vanga,https://www.bollywoodmdb.com/celebrities/sandeep-reddy-vanga/36481,"Hypotension and reflex tachycardia are potential consequences of rapid upward titration of CLEVIPREX®. If either occurs, decrease the dose of CLEVIPREX®. There is limited experience with short-duration therapy with beta-blockers as a treatment for CLEVIPREX®-induced tachycardia. Beta-blocker use for this purpose is not recommended.",Dihydropyridine calcium channel blockers can produce negative inotropic effects and exacerbate heart failure. Monitor heart failure patients carefully.,CLEVIPREX® contains approximately 0.2 g of lipid per mL (2.0 kcal). Lipid intake restrictions may be necessary for patients with significant disorders of lipid metabolism.
Game Over,https://www.bollywoodmdb.com/movies/game-over/16608,: 0.97 cr,: 4.95 cr,: 9.02 cr,: 11.06 cr,: 11.06 cr,Thriller,"14 June, 2019 | 1 hrs 43 mins","Banner : Y Not Studios, Reliance Entertainment",Ashwin Saravanan,https://www.bollywoodmdb.com/celebrities/ashwin-saravanan/36848,"Hypotension and reflex tachycardia are potential consequences of rapid upward titration of CLEVIPREX®. If either occurs, decrease the dose of CLEVIPREX®. There is limited experience with short-duration therapy with beta-blockers as a treatment for CLEVIPREX®-induced tachycardia. Beta-blocker use for this purpose is not recommended.",Dihydropyridine calcium channel blockers can produce negative inotropic effects and exacerbate heart failure. Monitor heart failure patients carefully.,CLEVIPREX® contains approximately 0.2 g of lipid per mL (2.0 kcal). Lipid intake restrictions may be necessary for patients with significant disorders of lipid metabolism.
Bharat,https://www.bollywoodmdb.com/movies/bharat/16405,: 42.30 cr,: 150.10 cr,: 180.05 cr,: 201.86 cr,: 314.68 cr,"Drama, Period","05 June, 2019 | 2 hrs 35 mins","Banner : Salman Khan Films, Reel Life Production Pvt Ltd",Ali Abbas Zafar,https://www.bollywoodmdb.com/celebrities/ali-abbas-zafar/23837,"Producer : Atul Agnihotri , Alvira Khan Agnihotri, Bhushan Kumar","At the cusp of India's birth as an Independent nation, a family makes an arduous journey to freedom at a cost. A young boy Bharat, makes a promise to his Father that he will keep his family together no matter what.","Star : Salman Khan , Katrina Kaif, Disha Patani"
PM Narendra Modi,https://www.bollywoodmdb.com/movies/pm-narendra-modi/16544,: 2.88 cr,: 11.76 cr,: 19.21 cr,: 20.95 cr,: 23 cr,Biographical,"24 May, 2019 | 2 hrs 11 mins",Banner : Legend Studios,Omung Kumar,https://www.bollywoodmdb.com/celebrities/omung-kumar/13163,"Producer : Suresh Oberoi , Sandeep Singh",Biography of India's Prime Minister Shri Narendra Modi.,"Star : Vivek Oberoi , Manoj Joshi, Boman Irani"
India's Most Wanted,https://www.bollywoodmdb.com/movies/india-s-most-wanted/16471,: 2.10 cr,: 8.25 cr,: 10.90 cr,: 10.90 cr,: 14.23 cr,"Action, Thriller","24 May, 2019 | 2 hrs 3 mins","Banner : Fox Star Studios, Raapchik Films",Rajkumar Gupta,https://www.bollywoodmdb.com/celebrities/rajkumar-gupta/9615,"Producer : Fox Star Studios , Rajkumar Gupta, Myra Karn",A group of intelligence officers embark on a top secret mission to track down a wanted international criminal.,"Star : Arjun Kapoor , Pravin Singh Sisodia, Devendra Mishra"
De De Pyaar De,https://www.bollywoodmdb.com/movies/ajay-devgn-luv-ranjan-s-next/16387,: 10.41 cr,: 38.54 cr,: 61.05 cr,: 95.86 cr,: 129.25 cr,"Comedy, Romance","17 May, 2019 | 2 hrs 15 mins",Banner : Luv Films,Akiv Ali,https://www.bollywoodmdb.com/celebrities/akiv-ali/11180,"Producer : Bhushan Kumar , Luv Ranjan, Ankur Garg",A 50-year-old single father faces disapproval from his family and his ex-wife when he falls in love with a 26-year-old woman.,"Star : Ajay Devgn , Tabu, Rakul Preet"
Student Of The Year 2,https://www.bollywoodmdb.com/movies/student-of-the-year-2/16213,: 12.06 cr,: 38.83 cr,: 56.83 cr,: 68.82 cr,: 96.06 cr,"Drama, Romance, Action","10 May, 2019 | 2 hrs 26 mins","Banner : Dharma Productions, Fox Star Studios",Punit Malhotra,https://www.bollywoodmdb.com/celebrities/punit-malhotra/23921,"Producer : Hiroo Johar , Karan Johar, Apoorva Mehta","A student must face off against bullies and overcome hurdles, both academic and romantic, to win his college's coveted Student of the Year trophy.","Star : Tiger Shroff , Tara Sutaria, Ananya Panday"
Blank,https://www.bollywoodmdb.com/movies/blank/16521,: 0.97 cr,: 3.72 cr,: 5.11 cr,: 5.15 cr,: ---,"Action, Thriller","03 May, 2019 | 1 hrs 51 mins",Director : Behzad Khambata,Tony D'souza,https://www.bollywoodmdb.com/celebrities/tony-d-souza/33549,"Hypotension and reflex tachycardia are potential consequences of rapid upward titration of CLEVIPREX®. If either occurs, decrease the dose of CLEVIPREX®. There is limited experience with short-duration therapy with beta-blockers as a treatment for CLEVIPREX®-induced tachycardia. Beta-blocker use for this purpose is not recommended.",Dihydropyridine calcium channel blockers can produce negative inotropic effects and exacerbate heart failure. Monitor heart failure patients carefully.,CLEVIPREX® contains approximately 0.2 g of lipid per mL (2.0 kcal). Lipid intake restrictions may be necessary for patients with significant disorders of lipid metabolism.
Kalank,https://www.bollywoodmdb.com/movies/shiddat/16252,: 21.60 cr,: 62.75 cr,: 73.70 cr,: 74.23 cr,: 121.96 cr,"Period, Drama, Romance","17 April, 2019 | 2 hrs 48 mins","Banner : Fox Star Studios, Dharma Productions, Nadiadwala Grandson Entertainment",Abhishek Varman,https://www.bollywoodmdb.com/celebrities/abhishek-varman/28462,"Producer : Karan Johar , Sajid Nadiadwala, Hiroo Johar","The lives of six enigmatic characters become entangled whilst in search of love, but separated by the dichotomy between the two worlds of Husnabad, a town in North India.","Star : Varun Dhawan , Alia Bhatt, Sonakshi Sinha"
